id|tags|question|answer
1|game-principle|O čem je hra Jen buď EPIC?|Je to kompetitivní hra pro 2–4 hráče. Střídáte se v tazích, posouváte figurky po mapě, bojujete s příšerami pomocí zbraní a plníte úkoly. Kdo nejrychleji nasbírá dostatek slávy (vítězných bodů a splněných úkolů), vyhrává.
2|game-principle|Kolik hráčů může hrát?|Hra je pro 2 až 4 hráče.
3|game-principle|Jak se ve hře vyhrává?|Bojem s příšerami a plněním úkolů si dobýváte slávu (vítězné body). Kdo první dosáhne potřebného skóre, vyhrává.
4|game-components,map|Co je na mapě?|Na mapě stojí figurky hrdinů a leží žetony příšer a vítězných bodů. Vše na mapě je veřejné – kde kdo stojí a jaké příšery kde jsou.
5|game-components,draw-decks|Jaké dobírací balíčky existují?|Je šest dobíracích balíčků lícem dolů: čtyři zbraně (kopí, palice, meče, luky), úkoly a předměty. Dále je tu veřejná nabídka úkolů (lícem nahoru) a odkládací balíček zahraných karet.
6|game-components,hand-cards|Co hráč drží na ruce?|Karty zbraní, předmětů a úkolů – všechny tajné. Navíc dvě karty příběhu: Povolání a Jsem EPIC.
7|game-components,hand-cards|Kolik zbraní mohu mít najednou na ruce?|Nanejvýš dvě zbraně. Karet úkolů a předmětů můžete mít kolik chcete.
8|game-components,story-cards,profession,i-am-epic|Co jsou karty příběhu?|Jsou dvě: Povolání (unikátní pro každého hráče, vylosovaná na začátku) a Jsem EPIC (stejná pro všechny). Obě fungují jako potenciální vítězné body.
9|game-components,on-table,victory-points,trophies|Co mám před sebou na stole?|Hromádku získaných vítězných bodů, karty splněných úkolů a žetony poražených příšer (trofeje).
10|monsters,weapons|Jak funguje boj s příšerami?|Každý druh příšery se poráží konkrétní zbraní. Stačí mít na ruce správnou zbraň, zahodit ji a příšera je poražená. Vezměte si žeton příšery jako trofej a vítězný bod si položíte před sebe.
11|monsters,weapons|Jak poznám, která zbraň je na kterou příšeru?|Je to napsané na rubu dobíracích balíčků zbraní. Také je na líci každé zbraně v levém horním rohu symbol příšery, na kterou platí.
12|monsters,beast,spear|Co je zvíře?|Zelené žetony s rohy. Představují dravce (obří medvěd, smečka vlků). Platí na ně kopí.
13|monsters,undead,mace|Co je nemrtvý?|Žluté žetony s křížky místo očí. Představují zombie, duchy, kostlivce. Platí na ně palice.
14|monsters,human,sword|Co je člověk (jako příšera)?|Modré napůl plné žetony. Představují bandity, čaroděje. Platí na ně meč.
15|monsters,demon,bow|Co je démon?|Červené žetony rozetlé bleskem. Bytosti z jiného světa. Platí na ně luk.
16|weapons,bomb|Co je bomba?|Pátá zbraň, která působí na všechny příšery bez rozdílu. Má svůj vlastní symbol.
17|weapons,deck-mixing|Jsou v balíčku vždy jen zbraně odpovídající jeho rubu?|Ne! Čtvrtina zbraní v každém balíčku neodpovídá rubu. Při dobrání z balíčku luků máte šanci 1:3, že vytáhnete palici, kopí nebo meč.
18|game-setup,help-cards|K čemu jsou karty nápověd?|Obsahují shrnutí nejdůležitějších pravidel hry. Dejte je na dosažitelné místo, aby si hráči mohli pravidla snáze osvojit.
19|game-setup,starting-player|Jak se vybírá začínající hráč?|Vyberte někoho méně zkušeného – začínající hráč má malou výhodu. Hraje se po směru hodinových ručiček.
20|game-setup,map-building,map|Kdo staví mapu?|Hráč napravo od začínajícího (hraje poslední) je velitel mapy. Jako kompenzaci velet stavbě mapy.
21|game-setup,map-building,map|Jak se staví mapa?|Velitel mapy vezme 5 speciálních polí (hrad, dvě skály, dva starty) a odloží je. Zbytek zamíchá. Rozloží speciální pole podle vybraného tvaru mapy. Ostatní pole pokládá lícem nahoru a každé náhodně otočí. Jedno pole přebyde – vrátí se do krabice.
